Date,ELY
1996-09-27,33.625
1996-09-30,34.125
1996-10-01,33.875
1996-10-02,34.0
1996-10-03,34.625
1996-10-04,35.5
1996-10-07,36.625
1996-10-08,34.625
1996-10-09,34.625
1996-10-10,34.75
1996-10-11,33.75
1996-10-14,35.0
1996-10-15,33.375
1996-10-16,33.625
1996-10-17,32.5
1996-10-18,32.625
1996-10-21,32.0
1996-10-22,31.25
1996-10-23,32.125
1996-10-24,32.25
1996-10-25,31.625
1996-10-28,30.625
1996-10-29,30.875
1996-10-30,30.75
1996-10-31,30.625
1996-11-01,30.0
1996-11-04,29.875
1996-11-05,30.0
1996-11-06,30.5
1996-11-07,30.0
1996-11-08,30.125
1996-11-11,30.125
1996-11-12,31.75
1996-11-13,31.125
1996-11-14,30.625
1996-11-15,30.875
1996-11-18,30.5
1996-11-19,30.375
1996-11-20,29.75
1996-11-21,29.625
1996-11-22,30.0
1996-11-25,28.75
1996-11-26,29.75
1996-11-27,30.375
1996-11-29,30.25
1996-12-02,31.125
1996-12-03,31.25
1996-12-04,30.625
1996-12-05,30.125
1996-12-06,29.75
1996-12-09,29.375
1996-12-10,29.25
1996-12-11,28.75
1996-12-12,28.25
1996-12-13,27.5
1996-12-16,26.75
1996-12-17,27.375
1996-12-18,28.125
1996-12-19,28.625
1996-12-20,28.375
1996-12-23,27.375
1996-12-24,27.0
1996-12-26,28.5
1996-12-27,28.75
1996-12-30,29.25
1996-12-31,28.75
1997-01-02,28.875
1997-01-03,30.5
1997-01-06,29.125
1997-01-07,29.625
1997-01-08,29.125
1997-01-09,29.625
1997-01-10,29.875
1997-01-13,29.375
1997-01-14,29.25
1997-01-15,29.25
1997-01-16,29.875
1997-01-17,31.375
1997-01-20,32.125
1997-01-21,33.0
1997-01-22,33.375
1997-01-23,31.125
1997-01-24,31.0
1997-01-27,31.5
1997-01-28,31.75
1997-01-29,33.25
1997-01-30,33.0
1997-01-31,33.375
1997-02-03,33.625
1997-02-04,32.875
1997-02-05,32.75
1997-02-06,32.25
1997-02-07,32.75
1997-02-10,32.625
1997-02-11,32.25
1997-02-12,32.0
1997-02-13,32.0
1997-02-14,32.5
1997-02-18,32.625
1997-02-19,32.75
1997-02-20,32.125
1997-02-21,31.625
1997-02-24,32.5
1997-02-25,33.25
1997-02-26,32.875
1997-02-27,32.125
1997-02-28,31.75
1997-03-03,32.375
1997-03-04,32.625
1997-03-05,32.125
1997-03-06,32.75
1997-03-07,32.25
1997-03-10,30.375
1997-03-11,31.5
1997-03-12,31.125
1997-03-13,31.0
1997-03-14,29.875
1997-03-17,29.875
1997-03-18,30.0
1997-03-19,29.75
1997-03-20,29.25
1997-03-21,29.625
1997-03-24,29.5
1997-03-25,29.75
1997-03-26,29.5
1997-03-27,29.375
1997-03-31,28.625
1997-04-01,27.625
1997-04-02,27.375
1997-04-03,27.25
1997-04-04,29.625
1997-04-07,31.0
1997-04-08,30.625
1997-04-09,30.75
1997-04-10,30.625
1997-04-11,29.5
1997-04-14,30.75
1997-04-15,31.25
1997-04-16,31.875
1997-04-17,32.375
1997-04-18,32.625
1997-04-21,31.375
1997-04-22,31.0
1997-04-23,30.625
